text,label,label_name
"I am heading to college now, will talk to you later.",0,Safe
"Hey, are we still meeting for group study at the library today?",0,Safe
"Just boarded the metro, it is quite crowded today.",0,Safe
"Reached office safely, talk to you in the evening.",0,Safe
Can you please buy some groceries on your way back home?,0,Safe
I am having dinner with my friends at the restaurant near college.,0,Safe
The exam was really tough but I managed to finish it on time.,0,Safe
"I am going to sleep now, good night!",0,Safe
Let me know when you reach home.,0,Safe
"Yes, I will call you after my lecture is over.",0,Safe
What time does the bus leave for Chennai?,0,Safe
"I am studying at my friend's house, don't worry.",0,Safe
"The weather is very nice today, thinking of going for a walk.",0,Safe
Do you want me to bring anything for dinner?,0,Safe
I'll be home in about 20 minutes.,0,Safe
The shopping mall is very bright and full of families today.,0,Safe
"I am waiting at the bus stop, it should arrive any minute.",0,Safe
"Hello, is the meeting still scheduled for 10 AM?",0,Safe
I am just sitting in the park and reading a book.,0,Safe
"Just finished my work, packing my bags now.",0,Safe
"Hey, can you send me the notes for the ML class?",0,Safe
"We are planning a weekend trip, would you like to join?",0,Safe
"The class has been cancelled today, I am going home early.",0,Safe
"Just reached the hostel, going to have lunch now.",0,Safe
"It is very sunny outside today, remember to carry an umbrella.",0,Safe
I'm buying some books from the store near the station.,0,Safe
Can you call me when you are free?,0,Safe
"I am just checking in, hope you are having a good day.",0,Safe
I will take the auto from the stand and reach in 10 minutes.,0,Safe
The street lights are working fine and there are lots of people around.,0,Safe
Happy birthday! Hope you have a wonderful day ahead.,0,Safe
Can you send me the location of the cafe we planned to meet at?,0,Safe
"I am traveling by train, will reach by tomorrow morning.",0,Safe
The metro station is very clean and well-lit.,0,Safe
"I am buying some coffee, do you want one?",0,Safe
Let's meet at the campus gate after the class.,0,Safe
"I've got the keys, I am entering the hostel now.",0,Safe
I am just talking to my mom on the phone.,0,Safe
The auto driver was very polite and helpful.,0,Safe
I am sitting in the college canteen with my classmates.,0,Safe
"I just finished my laboratory practical, it went well.",0,Safe
Let me know if you need any help with the assignment.,0,Safe
I will text you once I get off the bus.,0,Safe
"It is a normal day, everything is fine here.",0,Safe
I am walking back home with my group of friends.,0,Safe
The shopkeeper returned the correct change.,0,Safe
I am watching a movie with my sister at home.,0,Safe
Just bought a new pen and notebook from the stationery shop.,0,Safe
We are having a team lunch today at a nearby hotel.,0,Safe
I am just waiting for the rain to stop before I walk home.,0,Safe
A stranger has been standing near my gate for the last one hour.,1,Warning
The streetlights are completely off and this road is very dark and quiet.,1,Warning
This cab driver is taking a route that looks different from the GPS map.,1,Warning
"There are some drunk men loitering near the bus stop, I feel uncomfortable.",1,Warning
I think someone is walking behind me and matching my speed.,1,Warning
This area is very isolated and there is nobody else around here.,1,Warning
The auto driver is staring at me constantly through the rearview mirror.,1,Warning
A group of boys are passing comments and laughing at me near the corner.,1,Warning
I feel very uneasy in this empty train compartment.,1,Warning
I am waiting for a cab but the area is pitch black and quiet.,1,Warning
The driver stopped the car in a dark place and says he is checking the engine.,1,Warning
"Someone is following me from the metro station, I am walking fast.",1,Warning
There is a suspicious car parked outside my hostel and the driver is watching me.,1,Warning
It is late at night and the street is completely deserted.,1,Warning
A person is continuously trying to talk to me even though I ignored him.,1,Warning
The taxi driver refuses to drop me at my destination and is arguing.,1,Warning
I am walking home alone and I hear footsteps behind me.,1,Warning
The lift in my apartment is not working and the staircase is dark and empty.,1,Warning
A stranger is asking me weird personal questions at the bus stand.,1,Warning
This route is very narrow and has no shops or lights. I shouldn't have taken it.,1,Warning
There is a man standing outside my door and knocking repeatedly.,1,Warning
I feel like someone is tracking my movements today.,1,Warning
The cab driver locked the doors from his control and won't answer why.,1,Warning
"A group of people are blockading the road ahead, looking aggressive.",1,Warning
I am stuck in an unfamiliar neighborhood and it is getting very late.,1,Warning
Someone keeps calling my phone from an unknown number repeatedly.,1,Warning
A guy on a bike slow-spaced near me and is staring at me.,1,Warning
"I am at a party and I think someone spiked my drink, I feel very dizzy.",1,Warning
The driver is driving very fast and ignoring my requests to slow down.,1,Warning
I am walking through a dark park and there are no guards around.,1,Warning
Someone is standing under the shadow of the tree and looking at me.,1,Warning
The auto driver took a wrong turn into an industrial area.,1,Warning
I feel unsafe walking near this construction site at night.,1,Warning
There is a person standing too close to me at the ticket counter.,1,Warning
A group of people are staring at me and whispering near the park exit.,1,Warning
This alleyway is extremely narrow and there are no security cameras.,1,Warning
I am feeling very scared because this bus is completely empty except the driver.,1,Warning
"A car pulled up near me and the window rolled down, I am moving away.",1,Warning
I am lost in a dark street and my phone battery is very low.,1,Warning
The delivery agent is asking to enter the house instead of dropping at the gate.,1,Warning
There is a suspicious person loitering near my vehicle in the parking lot.,1,Warning
I feel like I am being watched by the security guard here.,1,Warning
"This neighborhood looks very sketchy, I should get out of here quickly.",1,Warning
A stranger is trying to block my way while I am walking on the footpath.,1,Warning
The taxi is going in the opposite direction of my home.,1,Warning
I hear someone walking outside my window in the middle of the night.,1,Warning
This basement parking is completely empty and very poorly lit.,1,Warning
The driver is constantly talking on the phone in a low suspicious voice.,1,Warning
I feel very vulnerable walking here alone without any guard present.,1,Warning
A group of teenagers are blockading the footpath and won't let me pass.,1,Warning
Help me! Someone is trying to pull my hand and drag me!,2,Emergency
"I am being attacked by a group of people, please call the police immediately!",2,Emergency
Emergency! A stranger is trying to break into my house right now!,2,Emergency
"Someone is physically harassing me in the crowd, please send help!",2,Emergency
"Help, I am locked in a room and someone is threatening me!",2,Emergency
"A man is chasing me with a knife, please help me quickly!",2,Emergency
"Please send the police to my location, a guy is attacking me!",2,Emergency
"Someone is trying to touch me inappropriately on this bus, help!",2,Emergency
"I am being kidnapped, they forced me into a black SUV!",2,Emergency
Help! This cab driver is not stopping the car and is kidnapping me!,2,Emergency
Someone is trying to snatch my bag and is pulling me to the ground!,2,Emergency
"I am in extreme danger, please call the police right now!",2,Emergency
Emergency! A stalker is physically blocking me and screaming at me!,2,Emergency
Help me! I am being beaten up by a stranger in the street!,2,Emergency
"A man is trying to force his way into my apartment, please help!",2,Emergency
Help! I am bleeding and someone is trying to attack me again!,2,Emergency
Someone is stalking me closely and grabbing my shoulder!,2,Emergency
"Please send emergency services, I am being assaulted!",2,Emergency
I am trapped in an auto and the driver is driving to an isolated place!,2,Emergency
SOS! A group of men are surrounding me and harassing me!,2,Emergency
"Help, someone is trying to break my window and get inside!",2,Emergency
"I am running away from an attacker, please send help to my location!",2,Emergency
Emergency! A stranger grabbed my waist from behind near the alley!,2,Emergency
"Help me, I am being cornered by a group of aggressive people!",2,Emergency
Police help! A man is threatening to hurt me if I don't go with him!,2,Emergency
"Someone is trying to break the lock of my front door, please hurry!",2,Emergency
"Help, a stranger is pointing a weapon at me and demanding money!",2,Emergency
"I am being physically assaulted, please help me immediately!",2,Emergency
"Please call the police, a stalker is trying to enter my office cabin!",2,Emergency
"Help, I am locked in the car trunk and the car is moving!",2,Emergency
"SOS! I am being attacked near the campus lake, send security!",2,Emergency
Help me! A stranger is holding my wrist and won't let me go!,2,Emergency
"Please send help, someone is following me closely and they have a weapon!",2,Emergency
I am being harassed and chased by two guys on a motorcycle!,2,Emergency
Help! A guy is trying to push me down the stairs!,2,Emergency
"Emergency! Someone is trying to strangle me, please send help!",2,Emergency
"Help, my domestic helper has locked me inside and is attacking me!",2,Emergency
"I am in immediate danger, someone is trying to break my bedroom door!",2,Emergency
"SOS! Someone is trying to pull me into a car, please help!",2,Emergency
"Help, I am being stalked by a dangerous stalker who is threatening my life!",2,Emergency
"Emergency, police! A man is trying to molest me in this alley!",2,Emergency
Help! Someone is physically blocking my door and won't let me leave!,2,Emergency
"Please send help, I am cornered by a wild person who is attacking me!",2,Emergency
SOS! A stranger is trying to drag me into the bushes!,2,Emergency
"Help me, a group of people are trying to trash my car and pull me out!",2,Emergency
"I am being attacked, help, call 100 right now!",2,Emergency
Someone has cornered me in the restroom and is trying to attack me!,2,Emergency
Help! A stalker is outside my window trying to shatter the glass!,2,Emergency
"Emergency! A stranger is choking me, please send help!",2,Emergency
"Help, I am running for my life, someone is chasing me with a rod!",2,Emergency
